Account Number,Meter ID,Billing Start,Billing End,kWh,Unit,Tariff,Service Address
U-1043,MTR-BLR-004,2026-02-13,2026-03-12,63150,kWh,General Service,Lab San Francisco
U-1044,MTR-DEL-002,2026-02-14,2026-03-17,57060,kWh,General Service,Plant Delhi
U-1045,MTR-DEL-007,2026-02-15,2026-03-16,2048,kWh,Commercial,Factory London
U-1046,MTR-MUM-021,2026-02-16,2026-03-18,90479,kWh,Time of Use,Lab San Francisco
U-1047,MTR-DEL-014,2026-02-17,2026-04-02,4287,kWh,Time of Use,Plant Delhi
U-1048,MTR-BLR-018,2026-02-18,2026-03-19,113537,kWh,HT Industrial,Warehouse Bangalore
U-1049,MTR-MUM-021,2026-02-19,2026-03-20,118112,kWh,Green Supply,Plant Delhi
U-1050,MTR-DEL-006,2026-02-20,2026-04-05,156825,kWh,General Service,Office Mumbai
U-1051,MTR-DEL-019,2026-02-21,2026-03-24,14880,kWh,Green Supply,Lab San Francisco
U-1052,MTR-BLR-010,2026-02-22,2026-03-25,1938,kWh,Green Supply,Warehouse Bangalore
U-1053,MTR-SFO-010,2026-02-23,2026-03-25,158621,kWh,HT Industrial,Lab San Francisco
U-1054,MTR-MUM-017,2026-02-24,2026-03-27,29327,kWh,Commercial,Lab San Francisco
U-1055,MTR-MUM-018,2026-02-25,2026-03-27,70039,kWh,General Service,Warehouse Bangalore
U-1056,MTR-MUM-003,2026-02-26,2026-03-28,35006,kWh,General Service,Factory London
U-1057,MTR-LON-015,2026-02-27,2026-03-26,108389,kWh,Commercial,Factory London
U-1058,MTR-SFO-014,2026-02-28,2026-03-30,124642,kWh,HT Industrial,Factory London
U-1059,MTR-BLR-016,2026-03-01,2026-04-14,120101,kWh,Commercial,Lab San Francisco
U-1060,MTR-LON-016,2026-03-02,2026-04-01,149684,kWh,Time of Use,Warehouse Bangalore
U-1061,MTR-LON-005,2026-03-03,2026-04-16,100974,kWh,HT Industrial,Office Mumbai
U-1062,MTR-LON-006,2026-03-04,2026-04-02,141744,kWh,General Service,Factory London
U-1063,MTR-LON-019,2026-03-05,2026-04-05,142776,kWh,HT Industrial,Office Mumbai
U-1064,MTR-BLR-009,2026-03-06,2026-04-02,36363,kWh,Time of Use,Warehouse Bangalore
U-1065,MTR-DEL-005,2026-03-07,2026-04-06,123934,kWh,Time of Use,Plant Delhi
U-1066,MTR-BLR-019,2026-03-08,2026-04-08,123976,kWh,Time of Use,Plant Delhi
U-1067,MTR-DEL-021,2026-03-09,2026-04-07,112830,kWh,Time of Use,Office Mumbai
U-1068,MTR-MUM-020,2026-03-10,2026-04-10,21182,kWh,General Service,Lab San Francisco
U-1069,MTR-MUM-007,2026-03-11,2026-04-24,101164,kWh,General Service,Lab San Francisco
U-1070,MTR-SFO-011,2026-03-12,2026-04-25,96588,kWh,HT Industrial,Plant Delhi
U-1071,MTR-DEL-015,2026-03-13,2026-04-10,150585,kWh,General Service,Warehouse Bangalore
U-1072,MTR-DEL-008,2026-03-14,2026-04-14,121047,kWh,Green Supply,Office Mumbai
U-1073,MTR-BLR-014,2026-03-15,2026-04-28,21273,kWh,Commercial,Plant Delhi
U-1074,MTR-BLR-011,2026-03-16,2026-04-12,63233,kWh,General Service,Lab San Francisco
U-1075,MTR-MUM-021,2026-03-17,2026-04-15,55640,kWh,Commercial,Lab San Francisco
U-1076,MTR-SFO-020,2026-03-18,2026-05-01,19822,kWh,Time of Use,Plant Delhi
U-1077,MTR-DEL-023,2026-03-19,2026-04-17,102464,kWh,Time of Use,Factory London
U-1078,MTR-LON-013,2026-03-20,2026-04-20,114798,kWh,Commercial,Office Mumbai
U-1079,MTR-BLR-003,2026-03-21,2026-04-20,48607,kWh,Green Supply,Warehouse Bangalore
U-1080,MTR-BLR-005,2026-03-22,2026-04-21,59688,kWh,HT Industrial,Lab San Francisco
U-1081,MTR-DEL-002,2026-03-23,2026-05-06,149664,kWh,Commercial,Office Mumbai
U-1082,MTR-BLR-015,2026-03-24,2026-04-22,77902,kWh,Green Supply,Lab San Francisco
U-1083,MTR-SFO-024,2026-03-25,2026-04-23,65393,kWh,Commercial,Plant Delhi
U-1084,MTR-SFO-011,2026-03-26,2026-05-09,11128,kWh,General Service,Office Mumbai
U-1085,MTR-BLR-025,2026-03-27,2026-04-25,157749,kWh,General Service,Factory London
U-1086,MTR-MUM-009,2026-03-28,2026-04-24,127830,kWh,Commercial,Plant Delhi
U-1087,MTR-SFO-020,2026-03-29,2026-04-28,148565,kWh,HT Industrial,Lab San Francisco
U-1088,MTR-LON-014,2026-03-30,2026-04-30,20039,kWh,General Service,Lab San Francisco
U-1089,MTR-LON-009,2026-03-31,2026-05-14,166104,kWh,General Service,Office Mumbai
U-1090,MTR-MUM-004,2026-04-01,2026-05-01,117014,kWh,HT Industrial,Factory London
U-1091,MTR-MUM-024,2026-04-02,2026-04-29,156539,kWh,Time of Use,Plant Delhi
U-1092,MTR-BLR-003,2026-04-03,2026-04-30,10509,kWh,Time of Use,Factory London
U-1093,MTR-BLR-016,2026-04-04,2026-05-18,42846,kWh,Green Supply,Factory London
U-1094,MTR-DEL-008,2026-04-05,2026-05-03,18197,kWh,General Service,Plant Delhi
U-1095,MTR-DEL-004,2026-04-06,2026-05-04,138184,kWh,Time of Use,Factory London
U-1096,MTR-BLR-023,2026-04-07,2026-05-08,90148,kWh,HT Industrial,Plant Delhi
U-1097,MTR-BLR-014,2026-04-08,2026-05-05,67441,kWh,Time of Use,Plant Delhi
U-1098,MTR-SFO-009,2026-04-09,2026-05-08,111907,kWh,Green Supply,Warehouse Bangalore
U-1099,MTR-LON-019,2026-04-10,2026-05-07,98259,kWh,Green Supply,Warehouse Bangalore
U-1100,MTR-MUM-006,2026-04-11,2026-05-11,97889,kWh,Commercial,Warehouse Bangalore
U-1101,MTR-DEL-015,2026-04-12,2026-05-09,43049,kWh,Green Supply,Office Mumbai
U-1102,MTR-DEL-023,2026-04-13,2026-05-14,149081,kWh,General Service,Warehouse Bangalore
U-1103,MTR-BLR-017,2026-04-14,2026-05-15,5857,kWh,Commercial,Factory London
U-1104,MTR-LON-021,2026-04-15,2026-05-12,30929,kWh,Commercial,Factory London
U-1105,MTR-LON-015,2026-04-16,2026-05-30,102990,kWh,HT Industrial,Factory London
U-1106,MTR-LON-011,2026-04-17,2026-05-15,1380,kWh,Commercial,Warehouse Bangalore
U-1107,MTR-MUM-017,2026-04-18,2026-06-01,73319,kWh,General Service,Warehouse Bangalore
U-1108,MTR-LON-008,2026-04-19,2026-05-17,59738,kWh,Green Supply,Factory London
U-1109,MTR-MUM-013,2026-04-20,2026-05-19,110336,kWh,Green Supply,Lab San Francisco
U-1110,MTR-BLR-025,2026-04-21,2026-05-20,98657,kWh,General Service,Office Mumbai
U-1111,MTR-BLR-011,2026-04-22,2026-05-20,48940,kWh,HT Industrial,Office Mumbai
U-1112,MTR-DEL-020,2026-04-23,2026-05-24,74285,kWh,Green Supply,Lab San Francisco
U-1113,MTR-SFO-025,2026-04-24,2026-05-25,133365,kWh,General Service,Plant Delhi
U-1114,MTR-BLR-021,2026-04-25,2026-05-25,115806,kWh,Green Supply,Office Mumbai
U-1115,MTR-MUM-018,2026-04-26,2026-05-26,90432,kWh,Time of Use,Factory London
U-1116,MTR-MUM-001,2026-04-27,2026-05-28,97563,kWh,Time of Use,Office Mumbai
U-1117,MTR-DEL-023,2026-04-28,2026-05-25,152627,kWh,Time of Use,Warehouse Bangalore
U-1118,MTR-BLR-006,2026-04-29,2026-05-29,148970,kWh,Time of Use,Factory London
U-1119,MTR-SFO-009,2026-04-30,2026-05-31,33527,kWh,General Service,Lab San Francisco
U-1120,MTR-MUM-002,2026-05-01,2026-05-30,24027,kWh,Time of Use,Warehouse Bangalore
U-1121,MTR-MUM-017,2026-05-02,2026-05-30,174976,kWh,Green Supply,Warehouse Bangalore
U-1122,MTR-DEL-012,2026-05-03,2026-06-01,28396,kWh,General Service,Factory London
U-1123,MTR-MUM-001,2026-05-04,2026-06-03,139133,kWh,Commercial,Office Mumbai
U-1124,MTR-BLR-011,2026-05-05,2026-06-18,17935,kWh,Time of Use,Lab San Francisco
U-1125,MTR-MUM-013,2026-05-06,2026-06-05,174482,kWh,Green Supply,Office Mumbai
U-1126,MTR-LON-025,2026-05-07,2026-06-06,106966,kWh,Commercial,Lab San Francisco
U-1127,MTR-LON-018,2026-05-08,2026-06-07,172856,kWh,HT Industrial,Plant Delhi
U-1128,MTR-MUM-018,2026-05-09,2026-06-06,17765,kWh,General Service,Factory London
U-1129,MTR-MUM-013,2026-05-10,2026-06-07,130485,kWh,General Service,Factory London
U-1130,MTR-LON-011,2026-05-11,2026-06-07,107549,kWh,General Service,Lab San Francisco
U-1131,MTR-MUM-007,2026-05-12,2026-06-12,100263,kWh,Time of Use,Warehouse Bangalore
U-1132,MTR-LON-013,2026-05-13,2026-06-09,86761,kWh,HT Industrial,Office Mumbai
U-1133,MTR-SFO-024,2026-05-14,2026-06-13,140363,kWh,Time of Use,Factory London
U-1134,MTR-SFO-006,2026-05-15,2026-06-12,37932,kWh,HT Industrial,Factory London
U-1135,MTR-LON-024,2026-05-16,2026-06-13,68766,kWh,Green Supply,Office Mumbai
U-1136,MTR-LON-018,2026-05-17,2026-06-13,139389,kWh,Green Supply,Office Mumbai
U-1137,MTR-BLR-005,2026-05-18,2026-06-14,90858,kWh,HT Industrial,Warehouse Bangalore
U-1138,MTR-SFO-015,2026-05-19,2026-06-15,76947,kWh,HT Industrial,Warehouse Bangalore
U-1139,MTR-DEL-017,2026-05-20,2026-07-03,136767,kWh,General Service,Lab San Francisco
U-1140,MTR-LON-005,2026-05-21,2026-07-04,127072,kWh,HT Industrial,Lab San Francisco
U-1141,MTR-LON-010,2026-05-22,2026-07-05,112886,kWh,General Service,Factory London
U-1142,MTR-SFO-018,2026-05-23,2026-06-21,28443,kWh,Time of Use,Factory London
U-1143,MTR-SFO-001,2026-05-24,2026-06-23,14030,kWh,HT Industrial,Factory London
U-1144,MTR-MUM-023,2026-05-25,2026-06-21,91853,kWh,Commercial,Lab San Francisco
U-1145,MTR-DEL-005,2026-05-26,2026-06-25,121522,kWh,HT Industrial,Office Mumbai
U-1146,MTR-DEL-024,2026-05-27,2026-06-25,43363,kWh,Green Supply,Office Mumbai
U-1147,MTR-BLR-009,2026-05-28,2026-06-24,35174,kWh,Green Supply,Office Mumbai
U-1148,MTR-LON-014,2026-05-29,2026-06-27,40536,kWh,General Service,Office Mumbai
U-1149,MTR-MUM-022,2026-05-30,2026-07-13,127605,kWh,Green Supply,Warehouse Bangalore
U-1150,MTR-BLR-024,2026-05-31,2026-06-29,30199,kWh,General Service,Warehouse Bangalore
U-1151,MTR-SFO-021,2026-06-01,2026-06-29,1610,kWh,Commercial,Warehouse Bangalore
U-1152,MTR-DEL-011,2026-06-02,2026-07-02,32714,kWh,Commercial,Plant Delhi
U-1153,MTR-DEL-008,2026-06-03,2026-07-04,13277,kWh,Commercial,Plant Delhi
U-1154,MTR-LON-002,2026-06-04,2026-07-18,73001,kWh,General Service,Plant Delhi
U-1155,MTR-BLR-008,2026-06-05,2026-07-02,139993,kWh,Green Supply,Office Mumbai
U-1156,MTR-MUM-008,2026-06-06,2026-07-05,94468,kWh,Green Supply,Warehouse Bangalore
U-1157,MTR-BLR-003,2026-06-07,2026-07-06,169253,kWh,Commercial,Lab San Francisco
U-1158,MTR-SFO-014,2026-06-08,2026-07-06,60121,kWh,General Service,Plant Delhi
U-1159,MTR-LON-010,2026-06-09,2026-07-07,33515,kWh,HT Industrial,Lab San Francisco
U-1160,MTR-MUM-004,2026-06-10,2026-07-24,63308,kWh,Green Supply,Lab San Francisco
U-1161,MTR-LON-005,2026-06-11,2026-07-25,68968,kWh,General Service,Warehouse Bangalore
U-1162,MTR-MUM-016,2026-06-12,2026-07-11,154161,kWh,HT Industrial,Lab San Francisco
U-1163,MTR-LON-002,2026-06-13,2026-07-12,102367,kWh,General Service,Factory London
U-1164,MTR-MUM-024,2026-06-14,2026-07-12,36350,kWh,Green Supply,Office Mumbai
U-1165,MTR-LON-022,2026-06-15,2026-07-16,71653,kWh,Time of Use,Factory London
U-1166,MTR-DEL-014,2026-06-16,2026-07-14,124425,kWh,Commercial,Factory London
U-1167,MTR-DEL-019,2026-06-17,2026-07-14,163993,kWh,Time of Use,Office Mumbai
U-1168,MTR-MUM-018,2026-06-18,2026-07-18,160067,kWh,Time of Use,Office Mumbai
U-1169,MTR-LON-004,2026-06-19,2026-07-20,142151,kWh,HT Industrial,Lab San Francisco
U-1170,MTR-MUM-002,2026-06-20,2026-07-17,99630,kWh,HT Industrial,Lab San Francisco
U-1171,MTR-MUM-018,2026-06-21,2026-07-20,122638,kWh,Commercial,Plant Delhi
U-1172,MTR-SFO-019,2026-06-22,2026-07-22,38666,kWh,Green Supply,Office Mumbai
U-1173,MTR-MUM-015,2026-06-23,2026-07-23,87046,kWh,General Service,Lab San Francisco
U-1174,MTR-MUM-014,2026-06-24,2026-07-25,145187,kWh,Commercial,Office Mumbai
U-1175,MTR-BLR-025,2026-06-25,2026-07-24,78902,kWh,Commercial,Plant Delhi
U-1176,MTR-LON-013,2026-06-26,2026-07-24,139036,kWh,Time of Use,Warehouse Bangalore
U-1177,MTR-MUM-025,2026-06-27,2026-08-10,11360,kWh,Commercial,Factory London
U-1178,MTR-BLR-007,2026-06-28,2026-07-27,153712,kWh,General Service,Plant Delhi
U-1179,MTR-DEL-012,2026-06-29,2026-07-30,135300,kWh,HT Industrial,Warehouse Bangalore
U-1180,MTR-DEL-024,2026-01-01,2026-01-29,10097,kWh,HT Industrial,Office Mumbai
U-1181,MTR-DEL-018,2026-01-02,2026-02-15,25376,kWh,General Service,Office Mumbai
U-1182,MTR-BLR-025,2026-01-03,2026-01-30,55225,kWh,General Service,Office Mumbai
U-1183,MTR-BLR-013,2026-01-04,2026-01-31,85239,kWh,HT Industrial,Factory London
U-1184,MTR-DEL-022,2026-01-05,2026-02-18,87128,kWh,Commercial,Factory London
U-1185,MTR-LON-024,2026-01-06,2026-02-02,440,kWh,General Service,Factory London
U-1186,MTR-BLR-023,2026-01-07,2026-02-06,124928,kWh,HT Industrial,Lab San Francisco
U-1187,MTR-BLR-002,2026-01-08,2026-02-04,12241,kWh,Commercial,Warehouse Bangalore
U-1188,MTR-DEL-004,2026-01-09,2026-02-22,113080,kWh,Green Supply,Warehouse Bangalore
U-1189,MTR-MUM-016,2026-01-10,2026-02-08,121831,kWh,Time of Use,Warehouse Bangalore
U-1190,MTR-MUM-010,2026-01-11,2026-02-08,111834,kWh,Time of Use,Lab San Francisco
U-1191,MTR-BLR-010,2026-01-12,2026-02-10,110800,kWh,Commercial,Plant Delhi
U-1192,MTR-DEL-018,2026-01-13,2026-02-09,54871,kWh,Commercial,Warehouse Bangalore
U-1193,MTR-SFO-004,2026-01-14,2026-02-14,174186,kWh,Time of Use,Office Mumbai
U-1194,MTR-LON-017,2026-01-15,2026-02-12,117191,kWh,Green Supply,Factory London
U-1195,MTR-LON-021,2026-01-16,2026-02-13,14570,kWh,Time of Use,Lab San Francisco
U-1196,MTR-DEL-023,2026-01-17,2026-02-15,141169,kWh,HT Industrial,Lab San Francisco
U-1197,MTR-LON-023,2026-01-18,2026-02-17,72897,kWh,Time of Use,Lab San Francisco
U-1198,MTR-MUM-020,2026-01-19,2026-02-19,110106,kWh,Commercial,Warehouse Bangalore
U-1199,MTR-DEL-012,2026-01-20,2026-02-18,54130,kWh,Commercial,Plant Delhi
U-1200,MTR-SFO-022,2026-01-21,2026-02-18,93368,kWh,Time of Use,Lab San Francisco
U-1201,MTR-MUM-017,2026-01-22,2026-02-22,160930,kWh,Commercial,Lab San Francisco
U-1202,MTR-DEL-003,2026-01-23,2026-02-20,54122,kWh,Green Supply,Lab San Francisco
U-1203,MTR-DEL-015,2026-01-24,2026-02-20,70174,kWh,Commercial,Office Mumbai
U-1204,MTR-LON-010,2026-01-25,2026-02-24,5556,kWh,Green Supply,Factory London
U-1205,MTR-MUM-014,2026-01-26,2026-02-22,119989,kWh,General Service,Warehouse Bangalore
U-1206,MTR-SFO-015,2026-01-27,2026-02-25,66614,kWh,Time of Use,Office Mumbai
U-1207,MTR-BLR-017,2026-01-28,2026-03-13,123038,kWh,General Service,Factory London
U-1208,MTR-BLR-005,2026-01-29,2026-02-25,27147,kWh,HT Industrial,Office Mumbai
U-1209,MTR-SFO-003,2026-01-30,2026-03-15,108966,kWh,General Service,Factory London
U-1210,MTR-LON-012,2026-01-31,2026-02-28,30821,kWh,HT Industrial,Warehouse Bangalore
U-1211,MTR-BLR-025,2026-02-01,2026-03-02,41358,kWh,Time of Use,Office Mumbai
U-1212,MTR-SFO-014,2026-02-02,2026-03-05,112646,kWh,Commercial,Lab San Francisco
U-1213,MTR-MUM-018,2026-02-03,2026-03-04,112166,kWh,Time of Use,Office Mumbai
U-1214,MTR-LON-016,2026-02-04,2026-03-07,56146,kWh,HT Industrial,Plant Delhi
U-1215,MTR-DEL-025,2026-02-05,2026-03-08,3937,kWh,Time of Use,Lab San Francisco
U-1216,MTR-MUM-015,2026-02-06,2026-03-22,90549,kWh,Green Supply,Warehouse Bangalore
U-1217,MTR-LON-013,2026-02-07,2026-03-09,50033,kWh,Commercial,Factory London
U-1218,MTR-SFO-008,2026-02-08,2026-03-09,9154,kWh,Commercial,Factory London
U-1219,MTR-LON-003,2026-02-09,2026-03-25,18717,kWh,Commercial,Factory London
U-1220,MTR-DEL-015,2026-02-10,2026-03-11,48422,kWh,HT Industrial,Warehouse Bangalore
U-1221,MTR-LON-025,2026-02-11,2026-03-11,144245,kWh,Green Supply,Warehouse Bangalore
U-1222,MTR-DEL-004,2026-02-12,2026-03-15,143604,kWh,Green Supply,Warehouse Bangalore
U-1223,MTR-SFO-020,2026-02-13,2026-03-15,108695,kWh,Time of Use,Lab San Francisco
U-1224,MTR-BLR-024,2026-02-14,2026-03-16,11092,kWh,General Service,Office Mumbai
U-1225,MTR-DEL-001,2026-02-15,2026-03-18,162779,kWh,HT Industrial,Lab San Francisco
U-1226,MTR-LON-006,2026-02-16,2026-03-18,173929,kWh,Time of Use,Warehouse Bangalore
U-1227,MTR-LON-017,2026-02-17,2026-04-02,173682,kWh,Commercial,Office Mumbai
U-1228,MTR-DEL-025,2026-02-18,2026-03-20,37749,kWh,General Service,Office Mumbai
U-1229,MTR-DEL-010,2026-02-19,2026-03-18,45251,kWh,HT Industrial,Plant Delhi
U-1230,MTR-DEL-001,2026-02-20,2026-03-23,123744,kWh,HT Industrial,Plant Delhi
U-1231,MTR-SFO-012,2026-02-21,2026-03-20,141043,kWh,Commercial,Warehouse Bangalore
U-1232,MTR-BLR-021,2026-02-22,2026-03-22,14553,kWh,Commercial,Warehouse Bangalore
U-1233,MTR-DEL-006,2026-02-23,2026-04-08,43848,kWh,General Service,Lab San Francisco
U-1234,MTR-LON-017,2026-02-24,2026-03-24,151078,kWh,Time of Use,Factory London
U-1235,MTR-MUM-024,2026-02-25,2026-03-24,138830,kWh,General Service,Plant Delhi
U-1236,MTR-BLR-025,2026-02-26,2026-03-27,111444,kWh,HT Industrial,Factory London
U-1237,MTR-SFO-011,2026-02-27,2026-03-26,4185,kWh,HT Industrial,Office Mumbai
U-1238,MTR-DEL-024,2026-02-28,2026-03-30,140770,kWh,Time of Use,Factory London
U-1239,MTR-LON-004,2026-03-01,2026-03-30,148299,kWh,HT Industrial,Plant Delhi
U-1240,MTR-MUM-023,2026-03-02,2026-04-01,50308,kWh,HT Industrial,Factory London
U-1241,MTR-DEL-008,2026-03-03,2026-04-02,85105,kWh,Green Supply,Lab San Francisco
U-1242,MTR-LON-019,2026-03-04,2026-04-04,165162,kWh,General Service,Office Mumbai
U-1243,MTR-LON-025,2026-03-05,2026-04-04,112739,kWh,HT Industrial,Warehouse Bangalore
U-1244,MTR-DEL-016,2026-03-06,2026-04-05,51724,kWh,Green Supply,Plant Delhi
U-1245,MTR-DEL-007,2026-03-07,2026-04-04,91447,kWh,Commercial,Office Mumbai
U-1246,MTR-MUM-001,2026-03-08,2026-04-06,4212,kWh,Commercial,Warehouse Bangalore
U-1247,MTR-SFO-001,2026-03-09,2026-04-22,121497,kWh,HT Industrial,Office Mumbai
U-1248,MTR-SFO-018,2026-03-10,2026-04-07,72310,kWh,HT Industrial,Factory London
U-1249,MTR-LON-025,2026-03-11,2026-04-11,67533,kWh,Time of Use,Factory London
U-1250,MTR-MUM-019,2026-03-12,2026-04-10,100151,kWh,Green Supply,Factory London
U-1251,MTR-LON-024,2026-03-13,2026-04-12,104073,kWh,Time of Use,Factory London
U-1252,MTR-BLR-011,2026-03-14,2026-04-14,31605,kWh,Commercial,Lab San Francisco
U-1253,MTR-DEL-003,2026-03-15,2026-04-13,2311,kWh,HT Industrial,Plant Delhi
U-1254,MTR-BLR-003,2026-03-16,2026-04-29,28887,kWh,Green Supply,Office Mumbai
U-1255,MTR-MUM-016,2026-03-17,2026-04-14,117389,kWh,Time of Use,Factory London
U-1256,MTR-DEL-003,2026-03-18,2026-05-01,25710,kWh,Green Supply,Warehouse Bangalore
U-1257,MTR-DEL-025,2026-03-19,2026-04-19,46858,kWh,Commercial,Warehouse Bangalore
U-1258,MTR-LON-013,2026-03-20,2026-04-18,173927,kWh,General Service,Warehouse Bangalore
U-1259,MTR-MUM-005,2026-03-21,2026-04-18,126180,kWh,Commercial,Warehouse Bangalore
U-1260,MTR-BLR-010,2026-03-22,2026-04-19,61805,kWh,Time of Use,Plant Delhi
U-1261,MTR-BLR-011,2026-03-23,2026-04-19,89854,kWh,HT Industrial,Factory London
U-1262,MTR-BLR-023,2026-03-24,2026-04-23,106253,kWh,Green Supply,Lab San Francisco
U-1263,MTR-DEL-011,2026-03-25,2026-04-24,114700,kWh,HT Industrial,Plant Delhi
U-1264,MTR-SFO-014,2026-03-26,2026-04-22,5100,kWh,Time of Use,Lab San Francisco
U-1265,MTR-MUM-018,2026-03-27,2026-04-23,32253,kWh,Green Supply,Warehouse Bangalore
U-1266,MTR-MUM-014,2026-03-28,2026-05-11,70408,kWh,General Service,Warehouse Bangalore
U-1267,MTR-LON-006,2026-03-29,2026-04-29,56545,kWh,Commercial,Office Mumbai
U-1268,MTR-MUM-024,2026-03-30,2026-04-30,174370,kWh,HT Industrial,Office Mumbai
U-1269,MTR-MUM-001,2026-03-31,2026-04-27,33777,kWh,General Service,Factory London
U-1270,MTR-SFO-023,2026-04-01,2026-04-29,22715,kWh,Time of Use,Office Mumbai
U-1271,MTR-LON-012,2026-04-02,2026-05-16,92127,kWh,General Service,Plant Delhi
U-1272,MTR-MUM-015,2026-04-03,2026-05-17,5065,kWh,Green Supply,Office Mumbai
U-1273,MTR-MUM-009,2026-04-04,2026-05-04,88846,kWh,Time of Use,Plant Delhi
U-1274,MTR-DEL-015,2026-04-05,2026-05-19,55691,kWh,General Service,Warehouse Bangalore
U-1275,MTR-DEL-018,2026-04-06,2026-05-20,144709,kWh,Commercial,Factory London
U-1276,MTR-LON-020,2026-04-07,2026-05-04,174523,kWh,General Service,Office Mumbai
U-1277,MTR-BLR-025,2026-04-08,2026-05-07,67260,kWh,General Service,Office Mumbai
U-1278,MTR-LON-011,2026-04-09,2026-05-06,27750,kWh,Commercial,Lab San Francisco
U-1279,MTR-MUM-015,2026-04-10,2026-05-07,64228,kWh,Time of Use,Office Mumbai
U-1280,MTR-SFO-021,2026-04-11,2026-05-08,144078,kWh,Time of Use,Warehouse Bangalore
