Trip ID,Category,Trip Date,From Airport,To Airport,Distance Km,Unit,Nights,Employee Region
T-000049,Flight,2026-02-19,LHR,DXB,9413,km,,India
T-000050,Flight,2026-02-20,DEL,BOM,8594,km,,UK
T-000051,Ground,2026-02-21,,,167,km,,US
T-000052,Ground,2026-02-22,,,58,km,,UK
T-000053,Hotel,2026-02-23,,,,km,4,Singapore
T-000054,Hotel,2026-02-24,,,,km,10,US
T-000055,Hotel,2026-02-25,,,,km,1,UK
T-000056,Ground,2026-02-26,,,34,km,,Singapore
T-000057,Flight,2026-02-27,SFO,SIN,5733,km,,UAE
T-000058,Ground,2026-02-28,,,88,km,,Singapore
T-000059,Hotel,2026-03-01,,,,km,12,UAE
T-000060,Ground,2026-03-02,,,125,km,,India
T-000061,Hotel,2026-03-03,,,,km,12,Singapore
T-000062,Ground,2026-03-04,,,98,km,,Singapore
T-000063,Hotel,2026-03-05,,,,km,10,US
T-000064,Hotel,2026-03-06,,,,km,3,UAE
T-000065,Ground,2026-03-07,,,166,km,,UK
T-000066,Hotel,2026-03-08,,,,km,1,UAE
T-000067,Flight,2026-03-09,SFO,BLR,12131,km,,Singapore
T-000068,Hotel,2026-03-10,,,,km,9,India
T-000069,Ground,2026-03-11,,,148,km,,UK
T-000070,Flight,2026-03-12,SIN,LHR,6245,km,,US
T-000071,Ground,2026-03-13,,,119,km,,UAE
T-000072,Hotel,2026-03-14,,,,km,8,UK
T-000073,Ground,2026-03-15,,,134,km,,UAE
T-000074,Ground,2026-03-16,,,116,km,,UK
T-000075,Hotel,2026-03-17,,,,km,7,UAE
T-000076,Flight,2026-03-18,SIN,JFK,,km,,Singapore
T-000077,Ground,2026-03-19,,,172,km,,Singapore
T-000078,Flight,2026-03-20,BOM,BLR,892,km,,US
T-000079,Hotel,2026-03-21,,,,km,4,Singapore
T-000080,Flight,2026-03-22,BLR,BOM,,km,,UK
T-000081,Ground,2026-03-23,,,64,km,,India
T-000082,Flight,2026-03-24,BOM,DXB,310,km,,UK
T-000083,Ground,2026-03-25,,,104,km,,India
T-000084,Hotel,2026-03-26,,,,km,11,UK
T-000085,Ground,2026-03-27,,,127,km,,Singapore
T-000086,Flight,2026-03-28,BLR,DEL,6675,km,,India
T-000087,Flight,2026-03-29,DEL,DXB,6579,km,,US
T-000088,Ground,2026-03-30,,,14,km,,India
T-000089,Flight,2026-03-31,DEL,SFO,3534,km,,UK
T-000090,Ground,2026-04-01,,,61,km,,India
T-000091,Hotel,2026-04-02,,,,km,1,US
T-000092,Hotel,2026-04-03,,,,km,10,US
T-000093,Ground,2026-04-04,,,25,km,,Singapore
T-000094,Flight,2026-04-05,JFK,LHR,6977,km,,US
T-000095,Flight,2026-04-06,SFO,DXB,10340,km,,UK
T-000096,Flight,2026-04-07,BLR,SFO,,km,,US
T-000097,Ground,2026-04-08,,,117,km,,US
T-000098,Hotel,2026-04-09,,,,km,6,UAE
T-000099,Flight,2026-04-10,BLR,SIN,10878,km,,Singapore
T-000100,Hotel,2026-04-11,,,,km,3,UK
T-000101,Hotel,2026-04-12,,,,km,8,UK
T-000102,Flight,2026-04-13,BOM,LHR,9638,km,,UK
T-000103,Hotel,2026-04-14,,,,km,6,UK
T-000104,Flight,2026-04-15,SFO,BOM,,km,,US
T-000105,Flight,2026-04-16,BOM,SFO,9102,km,,Singapore
T-000106,Ground,2026-04-17,,,121,km,,India
T-000107,Flight,2026-04-18,BLR,DEL,4289,km,,UAE
T-000108,Hotel,2026-04-19,,,,km,5,UK
T-000109,Flight,2026-04-20,DXB,SFO,6104,km,,UAE
T-000110,Ground,2026-04-21,,,21,km,,UAE
T-000111,Ground,2026-04-22,,,66,km,,UK
T-000112,Ground,2026-04-23,,,3,km,,UAE
T-000113,Hotel,2026-04-24,,,,km,7,Singapore
T-000114,Ground,2026-04-25,,,49,km,,India
T-000115,Hotel,2026-04-26,,,,km,3,US
T-000116,Ground,2026-04-27,,,113,km,,UAE
T-000117,Hotel,2026-04-28,,,,km,8,UAE
T-000118,Ground,2026-04-29,,,68,km,,UK
T-000119,Hotel,2026-04-30,,,,km,8,US
T-000120,Ground,2026-05-01,,,93,km,,India
T-000121,Ground,2026-05-02,,,15,km,,UAE
T-000122,Ground,2026-05-03,,,112,km,,India
T-000123,Flight,2026-05-04,BLR,SIN,7946,km,,UK
T-000124,Hotel,2026-05-05,,,,km,11,US
T-000125,Flight,2026-05-06,BOM,SFO,11904,km,,India
T-000126,Hotel,2026-05-07,,,,km,10,Singapore
T-000127,Hotel,2026-05-08,,,,km,5,UK
T-000128,Ground,2026-05-09,,,33,km,,India
T-000129,Hotel,2026-05-10,,,,km,2,India
T-000130,Hotel,2026-05-11,,,,km,6,Singapore
T-000131,Ground,2026-05-12,,,135,km,,UAE
T-000132,Hotel,2026-05-13,,,,km,11,Singapore
T-000133,Flight,2026-05-14,JFK,LHR,6630,km,,US
T-000134,Hotel,2026-05-15,,,,km,11,UAE
T-000135,Ground,2026-05-16,,,172,km,,UAE
T-000136,Flight,2026-05-17,SFO,DXB,,km,,India
T-000137,Flight,2026-05-18,SFO,DEL,12382,km,,US
T-000138,Flight,2026-05-19,SFO,DXB,446,km,,India
T-000139,Hotel,2026-05-20,,,,km,2,Singapore
T-000140,Hotel,2026-05-21,,,,km,11,US
T-000141,Flight,2026-05-22,SFO,JFK,4118,km,,India
T-000142,Ground,2026-05-23,,,73,km,,Singapore
T-000143,Hotel,2026-05-24,,,,km,12,Singapore
T-000144,Hotel,2026-05-25,,,,km,10,UAE
T-000145,Ground,2026-05-26,,,135,km,,India
T-000146,Hotel,2026-05-27,,,,km,5,UAE
T-000147,Hotel,2026-05-28,,,,km,7,UK
T-000148,Hotel,2026-05-29,,,,km,12,UK
T-000149,Ground,2026-05-30,,,33,km,,US
T-000150,Flight,2026-05-31,BLR,SFO,531,km,,UK
T-000151,Hotel,2026-06-01,,,,km,2,India
T-000152,Hotel,2026-06-02,,,,km,7,UK
T-000153,Hotel,2026-06-03,,,,km,10,US
T-000154,Hotel,2026-06-04,,,,km,2,UK
T-000155,Ground,2026-06-05,,,9,km,,UAE
T-000156,Hotel,2026-06-06,,,,km,10,UK
T-000157,Flight,2026-06-07,BLR,SIN,5535,km,,UK
T-000158,Hotel,2026-06-08,,,,km,1,India
T-000159,Ground,2026-06-09,,,81,km,,Singapore
T-000160,Hotel,2026-06-10,,,,km,5,UAE
T-000161,Flight,2026-06-11,BOM,DEL,1746,km,,US
T-000162,Hotel,2026-06-12,,,,km,8,US
T-000163,Flight,2026-06-13,SFO,BOM,5707,km,,India
T-000164,Hotel,2026-06-14,,,,km,11,Singapore
T-000165,Hotel,2026-06-15,,,,km,7,India
T-000166,Hotel,2026-06-16,,,,km,8,UAE
T-000167,Flight,2026-06-17,SFO,DEL,3332,km,,US
T-000168,Hotel,2026-06-18,,,,km,11,US
T-000169,Flight,2026-06-19,DEL,SFO,12119,km,,UK
T-000170,Ground,2026-06-20,,,47,km,,UAE
T-000171,Ground,2026-06-21,,,95,km,,US
T-000172,Flight,2026-06-22,LHR,JFK,,km,,Singapore
T-000173,Flight,2026-06-23,SFO,DEL,4537,km,,UAE
T-000174,Ground,2026-06-24,,,151,km,,Singapore
T-000175,Ground,2026-06-25,,,89,km,,US
T-000176,Hotel,2026-06-26,,,,km,10,Singapore
T-000177,Ground,2026-06-27,,,69,km,,India
T-000178,Flight,2026-06-28,JFK,DXB,8927,km,,UAE
T-000179,Ground,2026-06-29,,,122,km,,US
T-000180,Hotel,2026-01-01,,,,km,10,UAE
T-000181,Ground,2026-01-02,,,6,km,,UAE
T-000182,Ground,2026-01-03,,,83,km,,Singapore
T-000183,Ground,2026-01-04,,,35,km,,India
T-000184,Flight,2026-01-05,SFO,JFK,,km,,UK
T-000185,Ground,2026-01-06,,,118,km,,Singapore
T-000186,Ground,2026-01-07,,,126,km,,US
T-000187,Hotel,2026-01-08,,,,km,7,Singapore
T-000188,Flight,2026-01-09,LHR,JFK,,km,,UAE
T-000189,Ground,2026-01-10,,,71,km,,India
T-000190,Hotel,2026-01-11,,,,km,2,US
T-000191,Hotel,2026-01-12,,,,km,10,Singapore
T-000192,Ground,2026-01-13,,,85,km,,India
T-000193,Ground,2026-01-14,,,155,km,,India
T-000194,Hotel,2026-01-15,,,,km,7,US
T-000195,Flight,2026-01-16,BLR,LHR,719,km,,UK
T-000196,Hotel,2026-01-17,,,,km,1,UAE
T-000197,Flight,2026-01-18,DXB,BOM,7008,km,,India
T-000198,Hotel,2026-01-19,,,,km,8,UAE
T-000199,Hotel,2026-01-20,,,,km,5,UAE
T-000200,Hotel,2026-01-21,,,,km,5,India
T-000201,Flight,2026-01-22,SFO,JFK,11103,km,,UAE
T-000202,Ground,2026-01-23,,,165,km,,UAE
T-000203,Flight,2026-01-24,SIN,BLR,398,km,,India
T-000204,Ground,2026-01-25,,,100,km,,UAE
T-000205,Ground,2026-01-26,,,41,km,,India
T-000206,Ground,2026-01-27,,,42,km,,UAE
T-000207,Flight,2026-01-28,JFK,SIN,5497,km,,India
T-000208,Hotel,2026-01-29,,,,km,7,UK
T-000209,Hotel,2026-01-30,,,,km,9,Singapore
T-000210,Hotel,2026-01-31,,,,km,5,UAE
T-000211,Ground,2026-02-01,,,154,km,,UAE
T-000212,Flight,2026-02-02,BLR,BOM,,km,,US
T-000213,Flight,2026-02-03,SIN,SFO,4717,km,,UK
T-000214,Hotel,2026-02-04,,,,km,1,UK
T-000215,Flight,2026-02-05,SIN,DXB,1319,km,,UK
T-000216,Flight,2026-02-06,DXB,LHR,,km,,US
T-000217,Ground,2026-02-07,,,55,km,,UK
T-000218,Flight,2026-02-08,BOM,DXB,8693,km,,Singapore
T-000219,Flight,2026-02-09,BOM,DEL,6292,km,,UK
T-000220,Flight,2026-02-10,SFO,BOM,,km,,Singapore
T-000221,Hotel,2026-02-11,,,,km,11,US
T-000222,Flight,2026-02-12,SIN,DXB,2166,km,,US
T-000223,Hotel,2026-02-13,,,,km,9,US
T-000224,Ground,2026-02-14,,,161,km,,India
T-000225,Hotel,2026-02-15,,,,km,2,UK
T-000226,Ground,2026-02-16,,,67,km,,US
T-000227,Hotel,2026-02-17,,,,km,9,US
T-000228,Hotel,2026-02-18,,,,km,9,Singapore
T-000229,Flight,2026-02-19,DXB,SIN,2918,km,,US
T-000230,Ground,2026-02-20,,,73,km,,UK
T-000231,Ground,2026-02-21,,,133,km,,UAE
T-000232,Flight,2026-02-22,SFO,BLR,,km,,India
T-000233,Ground,2026-02-23,,,67,km,,US
T-000234,Ground,2026-02-24,,,142,km,,India
T-000235,Ground,2026-02-25,,,136,km,,UAE
T-000236,Hotel,2026-02-26,,,,km,9,India
T-000237,Flight,2026-02-27,SFO,BLR,10735,km,,UAE
T-000238,Ground,2026-02-28,,,163,km,,Singapore
T-000239,Hotel,2026-03-01,,,,km,4,UAE
T-000240,Hotel,2026-03-02,,,,km,10,Singapore
T-000241,Flight,2026-03-03,DEL,BOM,7147,km,,India
T-000242,Ground,2026-03-04,,,127,km,,UAE
T-000243,Flight,2026-03-05,BOM,SIN,9835,km,,India
T-000244,Flight,2026-03-06,SFO,LHR,,km,,Singapore
T-000245,Flight,2026-03-07,LHR,SIN,11252,km,,US
T-000246,Ground,2026-03-08,,,29,km,,Singapore
T-000247,Hotel,2026-03-09,,,,km,7,UAE
T-000248,Ground,2026-03-10,,,56,km,,Singapore
T-000249,Hotel,2026-03-11,,,,km,11,India
T-000250,Flight,2026-03-12,DEL,BOM,9402,km,,US
T-000251,Ground,2026-03-13,,,17,km,,UAE
T-000252,Hotel,2026-03-14,,,,km,5,UK
T-000253,Hotel,2026-03-15,,,,km,1,India
T-000254,Flight,2026-03-16,JFK,SFO,3449,km,,India
T-000255,Hotel,2026-03-17,,,,km,5,UK
T-000256,Flight,2026-03-18,JFK,SIN,,km,,UAE
T-000257,Ground,2026-03-19,,,122,km,,India
T-000258,Hotel,2026-03-20,,,,km,6,Singapore
T-000259,Flight,2026-03-21,JFK,BLR,4556,km,,US
T-000260,Ground,2026-03-22,,,96,km,,UK
T-000261,Flight,2026-03-23,LHR,JFK,8755,km,,India
T-000262,Ground,2026-03-24,,,98,km,,US
T-000263,Ground,2026-03-25,,,15,km,,US
T-000264,Ground,2026-03-26,,,5,km,,India
T-000265,Ground,2026-03-27,,,161,km,,UAE
T-000266,Hotel,2026-03-28,,,,km,2,Singapore
T-000267,Ground,2026-03-29,,,98,km,,India
T-000268,Hotel,2026-03-30,,,,km,3,UAE
T-000269,Flight,2026-03-31,BLR,JFK,2344,km,,India
T-000270,Hotel,2026-04-01,,,,km,4,Singapore
T-000271,Flight,2026-04-02,DEL,BOM,8651,km,,UK
T-000272,Flight,2026-04-03,BLR,SFO,,km,,US
T-000273,Hotel,2026-04-04,,,,km,6,US
T-000274,Ground,2026-04-05,,,67,km,,UAE
T-000275,Flight,2026-04-06,DXB,LHR,11032,km,,US
T-000276,Hotel,2026-04-07,,,,km,12,Singapore
T-000277,Ground,2026-04-08,,,13,km,,UK
T-000278,Flight,2026-04-09,BOM,DEL,8306,km,,India
T-000279,Flight,2026-04-10,DXB,BLR,7477,km,,UK
T-000280,Ground,2026-04-11,,,112,km,,India
T-000281,Flight,2026-04-12,DEL,DXB,4149,km,,UAE
T-000282,Flight,2026-04-13,BOM,JFK,10451,km,,India
T-000283,Ground,2026-04-14,,,129,km,,India
T-000284,Hotel,2026-04-15,,,,km,11,UAE
T-000285,Flight,2026-04-16,BOM,BLR,9333,km,,India
T-000286,Hotel,2026-04-17,,,,km,10,US
T-000287,Hotel,2026-04-18,,,,km,2,India
T-000288,Flight,2026-04-19,DXB,SIN,,km,,US
T-000289,Ground,2026-04-20,,,108,km,,US
T-000290,Ground,2026-04-21,,,154,km,,US
T-000291,Ground,2026-04-22,,,142,km,,UAE
T-000292,Ground,2026-04-23,,,123,km,,India
T-000293,Ground,2026-04-24,,,109,km,,US
T-000294,Ground,2026-04-25,,,100,km,,US
T-000295,Hotel,2026-04-26,,,,km,6,UAE
T-000296,Flight,2026-04-27,DEL,DXB,,km,,India
T-000297,Ground,2026-04-28,,,174,km,,UAE
T-000298,Flight,2026-04-29,SIN,LHR,6327,km,,India
T-000299,Flight,2026-04-30,BLR,SIN,3880,km,,US
T-000300,Ground,2026-05-01,,,75,km,,UK
T-000301,Ground,2026-05-02,,,177,km,,UAE
T-000302,Flight,2026-05-03,BOM,SIN,9840,km,,Singapore
T-000303,Ground,2026-05-04,,,60,km,,UAE
T-000304,Flight,2026-05-05,DEL,BOM,,km,,India
T-000305,Hotel,2026-05-06,,,,km,2,Singapore
T-000306,Flight,2026-05-07,JFK,BOM,709,km,,UK
T-000307,Ground,2026-05-08,,,134,km,,India
T-000308,Ground,2026-05-09,,,32,km,,UK
T-000309,Flight,2026-05-10,JFK,SFO,8837,km,,India
T-000310,Ground,2026-05-11,,,32,km,,India
T-000311,Ground,2026-05-12,,,30,km,,US
T-000312,Ground,2026-05-13,,,144,km,,UK
T-000313,Hotel,2026-05-14,,,,km,8,UK
T-000314,Hotel,2026-05-15,,,,km,7,Singapore
T-000315,Flight,2026-05-16,BOM,SIN,10950,km,,US
T-000316,Hotel,2026-05-17,,,,km,7,UAE
T-000317,Flight,2026-05-18,LHR,BLR,315,km,,Singapore
T-000318,Ground,2026-05-19,,,16,km,,UAE
T-000319,Ground,2026-05-20,,,79,km,,India
T-000320,Flight,2026-05-21,SIN,JFK,,km,,UK
T-000321,Ground,2026-05-22,,,95,km,,UAE
T-000322,Hotel,2026-05-23,,,,km,7,UK
T-000323,Flight,2026-05-24,BLR,JFK,6645,km,,Singapore
T-000324,Ground,2026-05-25,,,94,km,,UK
T-000325,Ground,2026-05-26,,,55,km,,Singapore
T-000326,Hotel,2026-05-27,,,,km,10,UK
T-000327,Ground,2026-05-28,,,148,km,,US
T-000328,Hotel,2026-05-29,,,,km,5,India
T-000329,Hotel,2026-05-30,,,,km,8,UAE
T-000330,Flight,2026-05-31,SIN,SFO,384,km,,UK
T-000331,Ground,2026-06-01,,,141,km,,US
T-000332,Hotel,2026-06-02,,,,km,12,UK
T-000333,Ground,2026-06-03,,,133,km,,India
T-000334,Flight,2026-06-04,JFK,DXB,4484,km,,Singapore
T-000335,Flight,2026-06-05,BOM,DEL,2698,km,,UK
T-000336,Hotel,2026-06-06,,,,km,9,India
T-000337,Hotel,2026-06-07,,,,km,11,UAE
T-000338,Hotel,2026-06-08,,,,km,10,US
T-000339,Ground,2026-06-09,,,32,km,,India
T-000340,Flight,2026-06-10,BLR,JFK,,km,,UAE
T-000341,Hotel,2026-06-11,,,,km,8,UK
T-000342,Ground,2026-06-12,,,135,km,,Singapore
T-000343,Ground,2026-06-13,,,69,km,,India
T-000344,Ground,2026-06-14,,,95,km,,Singapore
T-000345,Hotel,2026-06-15,,,,km,11,UAE
T-000346,Ground,2026-06-16,,,106,km,,UK
T-000347,Flight,2026-06-17,LHR,SFO,3049,km,,UK
T-000348,Ground,2026-06-18,,,37,km,,Singapore
T-000349,Hotel,2026-06-19,,,,km,11,Singapore
T-000350,Flight,2026-06-20,BOM,DXB,4499,km,,US
T-000351,Ground,2026-06-21,,,51,km,,UAE
T-000352,Flight,2026-06-22,SIN,SFO,,km,,US
T-000353,Hotel,2026-06-23,,,,km,3,India
T-000354,Hotel,2026-06-24,,,,km,10,US
T-000355,Flight,2026-06-25,BOM,BLR,7685,km,,UAE
T-000356,Hotel,2026-06-26,,,,km,12,Singapore
T-000357,Ground,2026-06-27,,,107,km,,US
T-000358,Hotel,2026-06-28,,,,km,11,India
T-000359,Hotel,2026-06-29,,,,km,1,Singapore
T-000360,Ground,2026-01-01,,,175,km,,US
T-000361,Ground,2026-01-02,,,85,km,,UK
T-000362,Flight,2026-01-03,DXB,SFO,2427,km,,US
T-000363,Flight,2026-01-04,SIN,BLR,1819,km,,Singapore
T-000364,Ground,2026-01-05,,,179,km,,US
T-000365,Hotel,2026-01-06,,,,km,5,UK
T-000366,Ground,2026-01-07,,,165,km,,US
T-000367,Ground,2026-01-08,,,145,km,,Singapore
T-000368,Ground,2026-01-09,,,109,km,,UK
T-000369,Hotel,2026-01-10,,,,km,8,UAE
T-000370,Hotel,2026-01-11,,,,km,7,India
T-000371,Flight,2026-01-12,SFO,BOM,4559,km,,US
T-000372,Flight,2026-01-13,SFO,DXB,,km,,India
T-000373,Ground,2026-01-14,,,37,km,,UAE
T-000374,Ground,2026-01-15,,,160,km,,UAE
T-000375,Flight,2026-01-16,SFO,DEL,3647,km,,Singapore
T-000376,Flight,2026-01-17,DEL,BOM,,km,,US
T-000377,Hotel,2026-01-18,,,,km,3,US
T-000378,Flight,2026-01-19,BLR,SFO,6296,km,,UK
T-000379,Flight,2026-01-20,BOM,SIN,8146,km,,US
T-000380,Flight,2026-01-21,LHR,DEL,,km,,Singapore
T-000381,Ground,2026-01-22,,,112,km,,US
T-000382,Hotel,2026-01-23,,,,km,8,Singapore
T-000383,Flight,2026-01-24,SIN,DXB,6783,km,,India
T-000384,Hotel,2026-01-25,,,,km,7,India
T-000385,Hotel,2026-01-26,,,,km,12,UAE
T-000386,Hotel,2026-01-27,,,,km,3,India
T-000387,Ground,2026-01-28,,,37,km,,UK
T-000388,Ground,2026-01-29,,,49,km,,US
T-000389,Ground,2026-01-30,,,137,km,,US
T-000390,Flight,2026-01-31,SFO,BOM,4807,km,,India
T-000391,Hotel,2026-02-01,,,,km,12,US
T-000392,Ground,2026-02-02,,,117,km,,UAE
T-000393,Ground,2026-02-03,,,169,km,,US
T-000394,Hotel,2026-02-04,,,,km,11,US
T-000395,Flight,2026-02-05,LHR,BOM,1300,km,,Singapore
T-000396,Hotel,2026-02-06,,,,km,9,India
T-000397,Flight,2026-02-07,DEL,BLR,1427,km,,India
T-000398,Flight,2026-02-08,BLR,SFO,11414,km,,India
T-000399,Hotel,2026-02-09,,,,km,10,US
T-000400,Ground,2026-02-10,,,157,km,,UK
T-000401,Flight,2026-02-11,DXB,DEL,2285,km,,Singapore
T-000402,Hotel,2026-02-12,,,,km,8,US
T-000403,Hotel,2026-02-13,,,,km,8,UK
T-000404,Flight,2026-02-14,SFO,BLR,,km,,UK
T-000405,Hotel,2026-02-15,,,,km,12,India
T-000406,Flight,2026-02-16,SIN,DXB,1051,km,,UK
T-000407,Hotel,2026-02-17,,,,km,3,UAE
T-000408,Ground,2026-02-18,,,66,km,,US
T-000409,Ground,2026-02-19,,,92,km,,UAE
T-000410,Hotel,2026-02-20,,,,km,4,UK
T-000411,Ground,2026-02-21,,,132,km,,Singapore
T-000412,Ground,2026-02-22,,,126,km,,India
T-000413,Hotel,2026-02-23,,,,km,11,Singapore
T-000414,Hotel,2026-02-24,,,,km,1,UK
T-000415,Hotel,2026-02-25,,,,km,9,UK
T-000416,Ground,2026-02-26,,,153,km,,India
T-000417,Flight,2026-02-27,DEL,DXB,6850,km,,India
T-000418,Ground,2026-02-28,,,89,km,,US
T-000419,Ground,2026-03-01,,,135,km,,UAE
T-000420,Ground,2026-03-02,,,50,km,,UAE
T-000421,Flight,2026-03-03,SIN,BLR,7943,km,,US
T-000422,Flight,2026-03-04,JFK,LHR,6004,km,,Singapore
T-000423,Hotel,2026-03-05,,,,km,6,India
T-000424,Ground,2026-03-06,,,83,km,,India
T-000425,Ground,2026-03-07,,,39,km,,Singapore
T-000426,Ground,2026-03-08,,,87,km,,US
T-000427,Flight,2026-03-09,DEL,SFO,8239,km,,US
T-000428,Ground,2026-03-10,,,93,km,,UAE
T-000429,Ground,2026-03-11,,,61,km,,US
T-000430,Hotel,2026-03-12,,,,km,3,US
T-000431,Ground,2026-03-13,,,139,km,,India
T-000432,Hotel,2026-03-14,,,,km,2,UAE
T-000433,Flight,2026-03-15,LHR,DEL,6878,km,,UAE
T-000434,Ground,2026-03-16,,,3,km,,UK
T-000435,Ground,2026-03-17,,,32,km,,UK
T-000436,Hotel,2026-03-18,,,,km,10,US
T-000437,Hotel,2026-03-19,,,,km,3,US
T-000438,Flight,2026-03-20,BOM,BLR,4311,km,,US
T-000439,Hotel,2026-03-21,,,,km,3,Singapore
T-000440,Ground,2026-03-22,,,35,km,,India
T-000441,Hotel,2026-03-23,,,,km,8,India
T-000442,Ground,2026-03-24,,,76,km,,UAE
T-000443,Ground,2026-03-25,,,11,km,,UAE
T-000444,Flight,2026-03-26,BOM,DXB,,km,,UAE
T-000445,Hotel,2026-03-27,,,,km,12,Singapore
T-000446,Ground,2026-03-28,,,96,km,,UK
T-000447,Hotel,2026-03-29,,,,km,4,UK
T-000448,Flight,2026-03-30,DXB,SFO,,km,,Singapore
T-000449,Hotel,2026-03-31,,,,km,1,US
T-000450,Hotel,2026-04-01,,,,km,3,UK
T-000451,Hotel,2026-04-02,,,,km,12,UAE
T-000452,Flight,2026-04-03,SFO,BOM,,km,,UK
T-000453,Flight,2026-04-04,DEL,DXB,6389,km,,India
T-000454,Flight,2026-04-05,BLR,DXB,9077,km,,India
T-000455,Flight,2026-04-06,BOM,SFO,9299,km,,UK
T-000456,Flight,2026-04-07,BLR,LHR,,km,,Singapore
T-000457,Ground,2026-04-08,,,161,km,,US
T-000458,Flight,2026-04-09,DXB,SFO,8570,km,,India
T-000459,Ground,2026-04-10,,,139,km,,Singapore
T-000460,Hotel,2026-04-11,,,,km,12,UAE
T-000461,Hotel,2026-04-12,,,,km,5,Singapore
T-000462,Hotel,2026-04-13,,,,km,6,UAE
T-000463,Flight,2026-04-14,BLR,LHR,4369,km,,UAE
T-000464,Hotel,2026-04-15,,,,km,8,India
T-000465,Flight,2026-04-16,LHR,BLR,2847,km,,UK
T-000466,Ground,2026-04-17,,,127,km,,India
T-000467,Flight,2026-04-18,LHR,BOM,2565,km,,UK
T-000468,Hotel,2026-04-19,,,,km,8,UK
T-000469,Hotel,2026-04-20,,,,km,11,UK
T-000470,Ground,2026-04-21,,,62,km,,UK
T-000471,Hotel,2026-04-22,,,,km,11,India
T-000472,Flight,2026-04-23,JFK,LHR,,km,,Singapore
T-000473,Ground,2026-04-24,,,27,km,,UAE
T-000474,Hotel,2026-04-25,,,,km,12,Singapore
T-000475,Ground,2026-04-26,,,6,km,,UK
T-000476,Flight,2026-04-27,DEL,JFK,,km,,UK
T-000477,Ground,2026-04-28,,,129,km,,India
T-000478,Ground,2026-04-29,,,11,km,,UAE
T-000479,Ground,2026-04-30,,,40,km,,India
T-000480,Hotel,2026-05-01,,,,km,4,UK
T-000481,Hotel,2026-05-02,,,,km,11,Singapore
T-000482,Hotel,2026-05-03,,,,km,4,India
T-000483,Flight,2026-05-04,BOM,DXB,7621,km,,UAE
T-000484,Hotel,2026-05-05,,,,km,4,UK
T-000485,Flight,2026-05-06,BLR,SIN,10542,km,,UK
T-000486,Flight,2026-05-07,DXB,SFO,4515,km,,US
T-000487,Ground,2026-05-08,,,76,km,,US
T-000488,Ground,2026-05-09,,,5,km,,Singapore
