Werk,Buchungsdatum,Material Document,Kraftstoff,Menge,Einheit,Cost Center,Vendor
PLT-US-03,2026/05/05,4900000124,Petrol,46162,therm,OPS-5029,Delhi Gas Utility
PLT-US-03,05-06-2026,4900000125,Diesel,15864,ltr,OPS-6194,Delhi Gas Utility
PLT-UK-04,07.05.2026,4900000126,Petrol,25155,ltr,OPS-6967,Northstar Energy
PLT-US-03,2026/05/08,4900000127,Natural Gas,13226,ltr,OPS-5478,Delhi Gas Utility
PLT-SG-05,05-09-2026,4900000128,Natural Gas,39668,L,OPS-5123,ACME Fuels GmbH
PLT-US-03,10.05.2026,4900000129,Natural Gas,7196,gal,OPS-6612,Metro Industrial Fuels
PLT-SG-05,2026/05/11,4900000130,Petrol,13496,L,OPS-5922,Metro Industrial Fuels
PLT-IN-02,05-12-2026,4900000131,Diesel,57783,Liters,OPS-5034,Metro Industrial Fuels
PLT-UK-04,13.05.2026,4900000132,BioFuel-X,15003,L,OPS-4303,ACME Fuels GmbH
PLT-SG-05,2026/05/14,4900000133,Petrol,19937,ltr,OPS-4348,Delhi Gas Utility
PLT-UK-04,05-15-2026,4900000134,LPG,15575,gal,OPS-6441,Delhi Gas Utility
PLT-UK-04,16.05.2026,4900000135,BioFuel-X,68544,therm,OPS-5217,Metro Industrial Fuels
PLT-SG-05,2026/05/17,4900000136,Diesel,40076,gal,OPS-6497,ACME Fuels GmbH
PLT-US-03,05-18-2026,4900000137,Diesel,27285,ltr,OPS-4643,Delhi Gas Utility
PLT-DE-01,19.05.2026,4900000138,Natural Gas,22832,gal,OPS-4010,Metro Industrial Fuels
PLT-UK-04,2026/05/20,4900000139,Petrol,59098,gal,OPS-4133,Delhi Gas Utility
PLT-UK-04,05-21-2026,4900000140,Diesel,37812,Liters,OPS-6815,Delhi Gas Utility
PLT-IN-02,22.05.2026,4900000141,BioFuel-X,34725,gal,OPS-4470,Delhi Gas Utility
PLT-IN-02,2026/05/23,4900000142,Diesel,19578,Liters,OPS-4244,Delhi Gas Utility
PLT-SG-05,05-24-2026,4900000143,Petrol,40369,gal,OPS-5798,ACME Fuels GmbH
PLT-UK-04,25.05.2026,4900000144,Petrol,61483,Liters,OPS-6049,Metro Industrial Fuels
PLT-SG-05,2026/05/26,4900000145,Diesel,57427,L,OPS-5769,Northstar Energy
PLT-DE-01,05-27-2026,4900000146,Natural Gas,32866,L,OPS-6761,ACME Fuels GmbH
PLT-DE-01,28.05.2026,4900000147,Natural Gas,35375,gal,OPS-5927,Metro Industrial Fuels
PLT-SG-05,2026/05/29,4900000148,BioFuel-X,36508,ltr,OPS-6600,Metro Industrial Fuels
PLT-US-03,05-30-2026,4900000149,BioFuel-X,12009,therm,OPS-5365,Northstar Energy
PLT-US-03,01.01.2026,4900000150,BioFuel-X,13760,ltr,OPS-6841,Metro Industrial Fuels
PLT-SG-05,2026/01/02,4900000151,Diesel,37827,therm,OPS-5862,ACME Fuels GmbH
PLT-US-03,01-03-2026,4900000152,Diesel,41274,Liters,OPS-5655,ACME Fuels GmbH
PLT-UK-04,04.01.2026,4900000153,Diesel,71168,therm,OPS-4768,Northstar Energy
PLT-DE-01,2026/01/05,4900000154,Natural Gas,65388,therm,OPS-5093,Delhi Gas Utility
PLT-UK-04,01-06-2026,4900000155,Diesel,37802,therm,OPS-4118,Delhi Gas Utility
PLT-SG-05,07.01.2026,4900000156,Diesel,20808,Liters,OPS-6262,Metro Industrial Fuels
PLT-DE-01,2026/01/08,4900000157,BioFuel-X,12267,ltr,OPS-4481,Delhi Gas Utility
PLT-SG-05,01-09-2026,4900000158,Petrol,65373,Liters,OPS-5701,Metro Industrial Fuels
PLT-UK-04,10.01.2026,4900000159,LPG,61944,ltr,OPS-4592,Metro Industrial Fuels
PLT-SG-05,2026/01/11,4900000160,Natural Gas,25033,gal,OPS-4285,Northstar Energy
PLT-SG-05,01-12-2026,4900000161,Petrol,54437,Liters,OPS-4010,Northstar Energy
PLT-SG-05,13.01.2026,4900000162,BioFuel-X,39182,gal,OPS-4608,Metro Industrial Fuels
PLT-US-03,2026/01/14,4900000163,Petrol,70642,therm,OPS-6260,Metro Industrial Fuels
PLT-IN-02,01-15-2026,4900000164,Natural Gas,59732,Liters,OPS-6342,Metro Industrial Fuels
PLT-DE-01,16.01.2026,4900000165,Petrol,30663,therm,OPS-5937,Metro Industrial Fuels
PLT-UK-04,2026/01/17,4900000166,Diesel,50654,ltr,OPS-4517,Northstar Energy
PLT-DE-01,01-18-2026,4900000167,LPG,13204,therm,OPS-5871,ACME Fuels GmbH
PLT-IN-02,19.01.2026,4900000168,Diesel,18944,therm,OPS-5923,Northstar Energy
PLT-UK-04,2026/01/20,4900000169,Diesel,44425,gal,OPS-5345,Metro Industrial Fuels
PLT-SG-05,01-21-2026,4900000170,Diesel,41555,therm,OPS-6529,ACME Fuels GmbH
PLT-IN-02,22.01.2026,4900000171,Diesel,30821,Liters,OPS-5777,ACME Fuels GmbH
PLT-IN-02,2026/01/23,4900000172,Petrol,13223,therm,OPS-4118,ACME Fuels GmbH
PLT-US-03,01-24-2026,4900000173,Petrol,42566,L,OPS-5535,Metro Industrial Fuels
PLT-SG-05,25.01.2026,4900000174,BioFuel-X,19130,ltr,OPS-6318,Delhi Gas Utility
PLT-DE-01,2026/01/26,4900000175,LPG,22330,ltr,OPS-5566,Delhi Gas Utility
PLT-IN-02,01-27-2026,4900000176,Natural Gas,65280,gal,OPS-5888,Northstar Energy
PLT-DE-01,28.01.2026,4900000177,BioFuel-X,60286,Liters,OPS-5178,Delhi Gas Utility
PLT-US-03,2026/01/29,4900000178,LPG,9731,therm,OPS-5225,Metro Industrial Fuels
PLT-US-03,01-30-2026,4900000179,Natural Gas,32830,therm,OPS-5575,Metro Industrial Fuels
PLT-UK-04,31.01.2026,4900000180,LPG,14029,ltr,OPS-5470,Northstar Energy
PLT-UK-04,2026/02/01,4900000181,Petrol,38746,L,OPS-4033,ACME Fuels GmbH
PLT-IN-02,02-02-2026,4900000182,LPG,65157,Liters,OPS-5443,Delhi Gas Utility
PLT-US-03,03.02.2026,4900000183,Natural Gas,24970,gal,OPS-6573,ACME Fuels GmbH
PLT-UK-04,2026/02/04,4900000184,Diesel,5217,Liters,OPS-6373,Northstar Energy
PLT-US-03,02-05-2026,4900000185,Petrol,17274,L,OPS-5701,Delhi Gas Utility
PLT-SG-05,06.02.2026,4900000186,Petrol,26368,ltr,OPS-6174,Northstar Energy
PLT-UK-04,2026/02/07,4900000187,Petrol,21617,Liters,OPS-5387,ACME Fuels GmbH
PLT-IN-02,02-08-2026,4900000188,Natural Gas,61435,L,OPS-6770,Metro Industrial Fuels
PLT-DE-01,09.02.2026,4900000189,BioFuel-X,73098,Liters,OPS-4057,Northstar Energy
PLT-UK-04,2026/02/10,4900000190,Petrol,70379,L,OPS-6755,Northstar Energy
PLT-DE-01,02-11-2026,4900000191,Natural Gas,49991,Liters,OPS-5931,ACME Fuels GmbH
PLT-SG-05,12.02.2026,4900000192,Natural Gas,73634,Liters,OPS-6652,ACME Fuels GmbH
PLT-UK-04,2026/02/13,4900000193,Diesel,60902,Liters,OPS-4572,ACME Fuels GmbH
PLT-UK-04,02-14-2026,4900000194,Diesel,4927,Liters,OPS-4398,Delhi Gas Utility
PLT-UK-04,15.02.2026,4900000195,BioFuel-X,70507,ltr,OPS-5519,Metro Industrial Fuels
PLT-DE-01,2026/02/16,4900000196,BioFuel-X,20303,therm,OPS-6521,Metro Industrial Fuels
PLT-US-03,02-17-2026,4900000197,Natural Gas,36716,L,OPS-5816,Metro Industrial Fuels
PLT-DE-01,18.02.2026,4900000198,Petrol,30997,Liters,OPS-6230,Northstar Energy
PLT-US-03,2026/02/19,4900000199,Natural Gas,7986,therm,OPS-4500,Metro Industrial Fuels
PLT-SG-05,02-20-2026,4900000200,Diesel,12065,ltr,OPS-4207,Northstar Energy
PLT-SG-05,21.02.2026,4900000201,Natural Gas,31975,ltr,OPS-4281,Delhi Gas Utility
PLT-US-03,2026/02/22,4900000202,Natural Gas,28355,ltr,OPS-6441,ACME Fuels GmbH
PLT-IN-02,02-23-2026,4900000203,LPG,36392,ltr,OPS-5026,Delhi Gas Utility
PLT-IN-02,24.02.2026,4900000204,Diesel,14458,L,OPS-5467,Delhi Gas Utility
PLT-IN-02,2026/02/25,4900000205,Petrol,42487,L,OPS-4214,Delhi Gas Utility
PLT-DE-01,02-26-2026,4900000206,Diesel,55226,gal,OPS-5950,Metro Industrial Fuels
PLT-SG-05,27.02.2026,4900000207,Diesel,47503,gal,OPS-5851,Delhi Gas Utility
PLT-US-03,2026/02/28,4900000208,BioFuel-X,5733,gal,OPS-6635,ACME Fuels GmbH
PLT-UK-04,03-01-2026,4900000209,BioFuel-X,8022,therm,OPS-6810,ACME Fuels GmbH
PLT-DE-01,02.03.2026,4900000210,Diesel,64310,therm,OPS-5319,Delhi Gas Utility
PLT-US-03,2026/03/03,4900000211,LPG,8659,ltr,OPS-6593,Northstar Energy
PLT-SG-05,03-04-2026,4900000212,Petrol,49975,gal,OPS-5858,Metro Industrial Fuels
PLT-SG-05,05.03.2026,4900000213,Natural Gas,13049,L,OPS-5761,Metro Industrial Fuels
PLT-US-03,2026/03/06,4900000214,BioFuel-X,29999,therm,OPS-5633,Metro Industrial Fuels
PLT-UK-04,03-07-2026,4900000215,Petrol,12513,Liters,OPS-6724,Northstar Energy
PLT-UK-04,08.03.2026,4900000216,Diesel,49110,ltr,OPS-4373,ACME Fuels GmbH
PLT-DE-01,2026/03/09,4900000217,Petrol,12269,therm,OPS-4532,ACME Fuels GmbH
PLT-US-03,03-10-2026,4900000218,Diesel,73658,gal,OPS-5682,Northstar Energy
PLT-US-03,11.03.2026,4900000219,LPG,55485,L,OPS-5279,Northstar Energy
PLT-SG-05,2026/03/12,4900000220,Natural Gas,13629,gal,OPS-4633,Metro Industrial Fuels
PLT-US-03,03-13-2026,4900000221,LPG,29442,L,OPS-5505,ACME Fuels GmbH
PLT-IN-02,14.03.2026,4900000222,BioFuel-X,36562,gal,OPS-6297,ACME Fuels GmbH
PLT-IN-02,2026/03/15,4900000223,Petrol,35104,L,OPS-6878,Northstar Energy
PLT-DE-01,03-16-2026,4900000224,Natural Gas,44591,Liters,OPS-4586,Metro Industrial Fuels
PLT-DE-01,17.03.2026,4900000225,Diesel,9170,ltr,OPS-6172,Delhi Gas Utility
PLT-UK-04,2026/03/18,4900000226,Petrol,49358,therm,OPS-4644,Northstar Energy
PLT-SG-05,03-19-2026,4900000227,LPG,40896,Liters,OPS-4347,ACME Fuels GmbH
PLT-SG-05,20.03.2026,4900000228,Diesel,20442,ltr,OPS-6760,ACME Fuels GmbH
PLT-UK-04,2026/03/21,4900000229,BioFuel-X,35715,therm,OPS-6486,Metro Industrial Fuels
PLT-IN-02,03-22-2026,4900000230,LPG,54337,Liters,OPS-4466,Northstar Energy
PLT-US-03,23.03.2026,4900000231,LPG,56399,L,OPS-5993,Northstar Energy
PLT-UK-04,2026/03/24,4900000232,LPG,6002,ltr,OPS-4224,ACME Fuels GmbH
PLT-IN-02,03-25-2026,4900000233,Natural Gas,26844,Liters,OPS-5046,Northstar Energy
PLT-DE-01,26.03.2026,4900000234,BioFuel-X,43057,L,OPS-5763,Delhi Gas Utility
PLT-SG-05,2026/03/27,4900000235,Natural Gas,16982,therm,OPS-6049,Northstar Energy
PLT-DE-01,03-28-2026,4900000236,BioFuel-X,9497,therm,OPS-4076,Metro Industrial Fuels
PLT-SG-05,29.03.2026,4900000237,BioFuel-X,10255,Liters,OPS-6348,Metro Industrial Fuels
PLT-DE-01,2026/03/30,4900000238,BioFuel-X,54797,Liters,OPS-4085,Northstar Energy
PLT-UK-04,03-31-2026,4900000239,Petrol,22577,gal,OPS-4360,Metro Industrial Fuels
PLT-UK-04,01.04.2026,4900000240,LPG,13925,ltr,OPS-5640,ACME Fuels GmbH
PLT-US-03,2026/04/02,4900000241,Natural Gas,51923,Liters,OPS-5364,Delhi Gas Utility
PLT-DE-01,04-03-2026,4900000242,LPG,10061,gal,OPS-6088,Delhi Gas Utility
PLT-IN-02,04.04.2026,4900000243,Natural Gas,45843,Liters,OPS-4421,Delhi Gas Utility
PLT-IN-02,2026/04/05,4900000244,LPG,33600,ltr,OPS-4626,ACME Fuels GmbH
PLT-UK-04,04-06-2026,4900000245,LPG,23268,therm,OPS-6373,Metro Industrial Fuels
PLT-US-03,07.04.2026,4900000246,Petrol,74039,gal,OPS-4618,Metro Industrial Fuels
PLT-UK-04,2026/04/08,4900000247,Petrol,9000,therm,OPS-5125,ACME Fuels GmbH
PLT-DE-01,04-09-2026,4900000248,Petrol,46179,gal,OPS-5891,Metro Industrial Fuels
PLT-US-03,10.04.2026,4900000249,Petrol,4979,L,OPS-4314,ACME Fuels GmbH
PLT-UK-04,2026/04/11,4900000250,LPG,66512,therm,OPS-6270,ACME Fuels GmbH
PLT-IN-02,04-12-2026,4900000251,Petrol,58997,gal,OPS-6478,Metro Industrial Fuels
PLT-DE-01,13.04.2026,4900000252,BioFuel-X,65765,ltr,OPS-4423,Northstar Energy
PLT-IN-02,2026/04/14,4900000253,Diesel,11103,gal,OPS-5014,Metro Industrial Fuels
PLT-SG-05,04-15-2026,4900000254,LPG,57645,gal,OPS-4650,Northstar Energy
PLT-UK-04,16.04.2026,4900000255,BioFuel-X,48920,Liters,OPS-5385,ACME Fuels GmbH
PLT-US-03,2026/04/17,4900000256,Diesel,43913,L,OPS-6285,Metro Industrial Fuels
PLT-SG-05,04-18-2026,4900000257,Natural Gas,37293,Liters,OPS-5365,ACME Fuels GmbH
PLT-US-03,19.04.2026,4900000258,BioFuel-X,18587,Liters,OPS-4528,ACME Fuels GmbH
PLT-UK-04,2026/04/20,4900000259,Petrol,40627,gal,OPS-4523,ACME Fuels GmbH
PLT-US-03,04-21-2026,4900000260,Diesel,55546,gal,OPS-5485,Northstar Energy
PLT-US-03,22.04.2026,4900000261,BioFuel-X,23677,ltr,OPS-4786,Delhi Gas Utility
PLT-DE-01,2026/04/23,4900000262,Petrol,18080,ltr,OPS-4414,ACME Fuels GmbH
PLT-IN-02,04-24-2026,4900000263,LPG,44190,gal,OPS-5543,Delhi Gas Utility
PLT-SG-05,25.04.2026,4900000264,Natural Gas,21316,ltr,OPS-6953,Metro Industrial Fuels
PLT-US-03,2026/04/26,4900000265,Natural Gas,5776,therm,OPS-5819,Northstar Energy
PLT-SG-05,04-27-2026,4900000266,Natural Gas,58891,ltr,OPS-5267,Metro Industrial Fuels
PLT-SG-05,28.04.2026,4900000267,BioFuel-X,25480,Liters,OPS-5891,Northstar Energy
PLT-SG-05,2026/04/29,4900000268,BioFuel-X,50102,gal,OPS-4663,Delhi Gas Utility
PLT-DE-01,04-30-2026,4900000269,BioFuel-X,18190,Liters,OPS-5520,ACME Fuels GmbH
PLT-US-03,01.05.2026,4900000270,Diesel,67671,L,OPS-4656,Northstar Energy
PLT-IN-02,2026/05/02,4900000271,BioFuel-X,58943,gal,OPS-4375,Delhi Gas Utility
PLT-DE-01,05-03-2026,4900000272,BioFuel-X,59180,Liters,OPS-4218,Metro Industrial Fuels
PLT-IN-02,04.05.2026,4900000273,BioFuel-X,65849,Liters,OPS-4334,Northstar Energy
